Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR600900	87460153.0	0.0	87460153.0	1.0	43749824.0	43710329.0	87460153.0	87325188.0	0.0	87325188.0	87460153.0	0.0	196995.0	0.0	5612561.0	6464844394.0	3228730666.0	3236113728.0	6464844394.0	6443590493.0	0.0	0.0	0.0	0.0	73.0	74.0	74.0	76.0	76.0	76.0	36.4	840.7	1665.4	43628263.0	34331.0	0.0	0.0	99.8	100.0	99.84568401109475	0.0	99.84568401109475	100.0	0.0	0.22523971573660523	0.0
SRR601900	60752527.0	0.0	60752527.0	1.0	30433149.0	30319378.0	60752527.0	60564654.0	0.0	60564654.0	60752527.0	0.0	155637.0	0.0	3558735.0	4458831528.0	2232681125.0	2226150403.0	4458831528.0	4434545137.0	0.0	0.0	0.0	0.0	73.0	73.0	73.0	76.0	76.0	76.0	35.5	807.8	1648.9	30241454.0	40873.0	0.0	0.0	99.7	100.0	99.69075689641683	0.0	99.69075689641683	100.0	0.0	0.2561819362674412	0.0
SRR603397	77024960.0	0.0	77024960.0	1.0	38529281.0	38495679.0	77024960.0	76905580.0	0.0	76905580.0	77024960.0	0.0	127545.0	0.0	5115536.0	5703778687.0	2848275253.0	2855503434.0	5703778687.0	5681525326.0	0.0	0.0	0.0	0.0	74.0	74.0	74.0	76.0	76.0	76.0	36.5	823.9	1757.5	38410447.0	42343.0	0.0	0.0	99.8	100.0	99.84501127946058	0.0	99.84501127946058	100.0	0.0	0.1655891804422878	0.0
SRR613723	47032018.0	0.0	47032018.0	1.0	23537010.0	23495008.0	47032018.0	46895202.0	0.0	46895202.0	47032018.0	0.0	251208.0	0.0	31651154.0	3459305462.0	1729830255.0	1729475207.0	3459305462.0	3447032656.0	0.0	0.0	0.0	0.0	73.0	73.0	74.0	76.0	76.0	76.0	36.3	738.3	1450.0	23388068.0	59533.0	0.0	0.0	99.7	100.0	99.70910029843924	0.0	99.70910029843924	100.0	0.0	0.5341212448081645	0.0
SRR614059	11584521.0	0.0	11584521.0	1.0	5799857.0	5784664.0	11584521.0	11534106.0	0.0	11534106.0	11584521.0	0.0	90809.0	0.0	4338467.0	839816879.0	422056441.0	417760438.0	839816879.0	832433439.0	0.0	0.0	0.0	0.0	72.0	73.0	72.0	76.0	76.0	76.0	34.7	911.9	1812.2	5728874.0	38179.0	0.0	0.0	99.6	100.0	99.56480721127787	0.0	99.56480721127787	100.0	0.0	0.7838822166233719	0.0
SRR614131	85238146.0	0.0	85238146.0	1.0	42632546.0	42605600.0	85238146.0	85073252.0	0.0	85073252.0	85238146.0	0.0	408183.0	0.0	55425728.0	6297317715.0	3145010048.0	3152307667.0	6297317715.0	6276576231.0	0.0	0.0	0.0	0.0	73.0	74.0	74.0	76.0	76.0	76.0	36.4	673.9	1367.4	42484599.0	52027.0	0.0	0.0	99.8	100.0	99.80654905375347	0.0	99.80654905375347	100.0	0.0	0.4788736254305672	0.0
SRR614167	44873955.0	0.0	44873955.0	1.0	22440726.0	22433229.0	44873955.0	44773980.0	0.0	44773980.0	44873955.0	0.0	269230.0	0.0	20367721.0	3282762470.0	1639632143.0	1643130327.0	3282762470.0	3267928344.0	0.0	0.0	0.0	0.0	73.0	73.0	73.0	76.0	76.0	76.0	36.6	885.2	1739.1	22072479.0	314511.0	0.0	0.0	99.8	100.0	99.77720929657303	0.0	99.77720929657303	100.0	0.0	0.5999694031872163	0.0
SRR615177	73198436.0	0.0	73198436.0	1.0	36659780.0	36538656.0	73198436.0	72980624.0	0.0	72980624.0	73198436.0	0.0	534977.0	0.0	35963165.0	5354781347.0	2685121625.0	2669659722.0	5354781347.0	5322855964.0	0.0	0.0	0.0	0.0	73.0	73.0	73.0	76.0	76.0	76.0	34.6	842.9	1653.7	36447689.0	42623.0	0.0	0.0	99.7	100.0	99.70243626516829	0.0	99.70243626516829	100.0	0.0	0.730858511785689	0.0
SRR627449	49922288.0	0.0	49922288.0	1.0	25126557.0	24795731.0	49922288.0	49478120.0	0.0	49478120.0	49922288.0	0.0	198607.0	0.0	9233036.0	4753614383.0	2401282012.0	2352332371.0	4753614383.0	4724910915.0	0.0	0.0	0.0	0.0	95.0	96.0	95.0	101.0	101.0	101.0	33.7	742.5	1694.3	24681428.0	57632.0	0.0	0.0	99.1	100.0	99.1102811633954	0.0	99.1102811633954	100.0	0.0	0.3978323269157856	0.0
SRR627462	54734443.0	0.0	54734443.0	1.0	27553588.0	27180855.0	54734443.0	54230130.0	0.0	54230130.0	54734443.0	0.0	338363.0	0.0	25183056.0	5177026657.0	2611819604.0	2565207053.0	5177026657.0	5145794951.0	0.0	0.0	0.0	0.0	94.0	95.0	94.0	101.0	101.0	101.0	33.5	499.7	1288.6	27021491.0	93574.0	0.0	0.0	99.1	100.0	99.0786185583363	0.0	99.0786185583363	100.0	0.0	0.6181902682374972	0.0
SRR655277	89134525.0	0.0	89134525.0	1.0	44648040.0	44486485.0	89134525.0	88919222.0	0.0	88919222.0	89134525.0	0.0	186968.0	0.0	5575180.0	6589584672.0	3329021503.0	3260563169.0	6589584672.0	6559938855.0	0.0	0.0	0.0	0.0	73.0	75.0	73.0	76.0	76.0	76.0	36.2	1176.9	2064.0	44450734.0	8877.0	0.0	0.0	99.8	100.0	99.75845162129939	0.0	99.75845162129939	100.0	0.0	0.20975934970203747	0.0
SRR656191	58641902.0	0.0	58641902.0	1.0	29384088.0	29257814.0	58641902.0	58460398.0	0.0	58460398.0	58641902.0	0.0	174921.0	0.0	4251120.0	4314705870.0	2173941516.0	2140764354.0	4314705870.0	4293286459.0	0.0	0.0	0.0	0.0	73.0	74.0	73.0	76.0	76.0	76.0	35.5	1213.5	2100.5	29210792.0	19407.0	0.0	0.0	99.7	100.0	99.6904875288663	0.0	99.6904875288663	100.0	0.0	0.29828670973189103	0.0
SRR656373	67549847.0	0.0	67549847.0	1.0	33831921.0	33717926.0	67549847.0	67392574.0	0.0	67392574.0	67549847.0	0.0	160537.0	0.0	4298097.0	4994341360.0	2515314943.0	2479026417.0	4994341360.0	4970615399.0	0.0	0.0	0.0	0.0	73.0	74.0	74.0	76.0	76.0	76.0	36.1	852.3	1716.4	33620184.0	76103.0	0.0	0.0	99.8	100.0	99.76717489826439	0.0	99.76717489826439	100.0	0.0	0.2376570889938507	0.0
SRR656469	121529381.0	0.0	121529381.0	1.0	60846031.0	60683350.0	121529381.0	121161568.0	0.0	121161568.0	121529381.0	0.0	395190.0	0.0	8748703.0	8969635908.0	4508203371.0	4461432537.0	8969635908.0	8926678580.0	0.0	0.0	0.0	0.0	73.0	74.0	74.0	76.0	76.0	76.0	36.2	1452.6	2284.6	60543654.0	37130.0	0.0	0.0	99.7	100.0	99.69734643838925	0.0	99.69734643838925	100.0	0.0	0.3251806244285898	0.0
SRR656528	73367582.0	0.0	73367582.0	1.0	36724679.0	36642903.0	73367582.0	73102498.0	0.0	73102498.0	73367582.0	0.0	278105.0	0.0	5460958.0	5381295876.0	2700735049.0	2680560827.0	5381295876.0	5351844215.0	0.0	0.0	0.0	0.0	73.0	74.0	73.0	76.0	76.0	76.0	36.1	850.9	1690.8	36297175.0	254074.0	0.0	0.0	99.6	100.0	99.6386905595444	0.0	99.6386905595444	100.0	0.0	0.37905706092371966	0.0
SRR659649	117278320.0	0.0	117278320.0	1.0	58727645.0	58550675.0	117278320.0	117007090.0	0.0	117007090.0	117278320.0	0.0	249826.0	0.0	8195043.0	8678062368.0	4352026095.0	4326036273.0	8678062368.0	8637554730.0	0.0	0.0	0.0	0.0	73.0	74.0	74.0	76.0	76.0	76.0	36.1	1165.4	1837.2	58397651.0	105894.0	0.0	0.0	99.8	100.0	99.76872963391699	0.0	99.76872963391699	100.0	0.0	0.21301976358460797	0.0
SRR665217	130697351.0	0.0	130697351.0	1.0	65447968.0	65249383.0	130697351.0	130346832.0	0.0	130346832.0	130697351.0	0.0	395771.0	0.0	8647338.0	9534933636.0	4800011696.0	4734921940.0	9534933636.0	9486401060.0	0.0	0.0	0.0	0.0	72.0	73.0	73.0	76.0	76.0	76.0	35.9	1102.2	1923.8	65123338.0	50078.0	0.0	0.0	99.7	100.0	99.73180864239552	0.0	99.73180864239552	100.0	0.0	0.3028148596523582	0.0
SRR807971	104976537.0	0.0	104976537.0	1.0	52521963.0	52454574.0	104976537.0	104768662.0	0.0	104768662.0	104976537.0	0.0	274495.0	0.0	9255082.0	7615475259.0			7615475259.0	7584352238.0	0.0	0.0	0.0	0.0	72.0			76.0			35.3	1241.5	1922.8	52348945.0	927.0	0.0	0.0		100.0	99.80197956044215	0.0	99.80197956044215	100.0	0.0	0.261482239597978	0.0
SRR815711	105171421.0	0.0	105171421.0	1.0	52603711.0	52567710.0	105171421.0	105045476.0	0.0	105045476.0	105171421.0	0.0	243404.0	0.0	9258825.0	7728693945.0	3879508091.0	3849185854.0	7728693945.0	7702668041.0	0.0	0.0	0.0	0.0	73.0	74.0	73.0	76.0	76.0	76.0	36.0	949.0	1676.1	52484313.0	38425.0	0.0	0.0	99.9	100.0	99.88024788597275	0.0	99.88024788597275	100.0	0.0	0.231435496150613	0.0
