##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458883_trimmed.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1140294
Sequences flagged as poor quality	0
Sequence length	20-51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.55306613908343	31.0	30.0	31.0	28.0	34.0
2	28.256157622507878	31.0	27.0	31.0	16.0	34.0
3	26.840239447019805	30.0	25.0	31.0	16.0	34.0
4	30.468980806704234	35.0	28.0	37.0	19.0	37.0
5	33.21104206459036	35.0	32.0	37.0	28.0	37.0
6	34.324461937009225	35.0	33.0	37.0	31.0	37.0
7	34.70135859699341	35.0	35.0	37.0	32.0	37.0
8	34.875340920850235	35.0	35.0	37.0	32.0	37.0
9	36.461653748945444	38.0	35.0	39.0	32.0	39.0
10	36.57954439819906	38.0	35.0	39.0	32.0	39.0
11	36.52784018858294	38.0	35.0	39.0	32.0	39.0
12	36.509880785130854	38.0	35.0	39.0	32.0	39.0
13	36.500517410422226	38.0	35.0	39.0	32.0	39.0
14	37.62939119209607	39.0	36.0	41.0	32.0	41.0
15	37.604498488986174	39.0	36.0	41.0	32.0	41.0
16	37.56683890294959	39.0	36.0	41.0	32.0	41.0
17	37.43475366879068	39.0	36.0	40.0	32.0	41.0
18	37.43973747121356	39.0	36.0	40.0	32.0	41.0
19	37.505673098341305	39.0	36.0	40.0	32.0	41.0
20	37.36441216037267	39.0	36.0	40.0	32.0	41.0
21	37.3128155026468	39.0	36.0	40.0	32.0	41.0
22	37.28536747726043	39.0	36.0	40.0	32.0	41.0
23	37.28708473491012	39.0	36.0	40.0	32.0	41.0
24	37.38048356422025	39.0	36.0	40.0	32.0	41.0
25	37.38039160979051	39.0	36.0	40.0	32.0	41.0
26	37.24071634739005	39.0	36.0	40.0	31.0	41.0
27	37.265476961644	39.0	36.0	40.0	31.0	41.0
28	37.0882033002489	39.0	36.0	40.0	31.0	41.0
29	37.074277389134096	39.0	36.0	40.0	31.0	41.0
30	37.08979572116884	39.0	36.0	40.0	31.0	41.0
31	36.95392917725024	39.0	36.0	40.0	30.0	41.0
32	36.985394965430416	39.0	36.0	40.0	30.0	41.0
33	36.98579103963048	39.0	36.0	40.0	30.0	41.0
34	36.92414596464556	39.0	36.0	40.0	30.0	41.0
35	36.89133419828219	39.0	36.0	40.0	30.0	41.0
36	36.82294173643272	39.0	35.0	40.0	30.0	41.0
37	36.81835498689861	38.0	35.0	40.0	30.0	41.0
38	36.74618983680238	38.0	35.0	40.0	30.0	41.0
39	36.712955455943366	38.0	35.0	40.0	30.0	41.0
40	36.64539544378547	38.0	35.0	40.0	30.0	41.0
41	36.60308536682369	38.0	35.0	40.0	30.0	41.0
42	36.53445073580617	38.0	35.0	40.0	30.0	41.0
43	36.766160381446234	38.0	35.0	40.0	30.0	41.0
44	36.80260008147999	39.0	35.0	40.0	30.0	41.0
45	36.87604234310368	39.0	35.0	40.0	30.0	41.0
46	36.87398363101612	39.0	35.0	40.0	30.0	41.0
47	36.889165822115	39.0	35.0	40.0	30.0	41.0
48	36.9264779387552	39.0	35.0	40.0	31.0	41.0
49	37.00989455181241	39.0	35.0	40.0	31.0	41.0
50	37.15814388268692	39.0	35.0	40.0	31.0	41.0
51	36.15281917864597	38.0	34.0	40.0	30.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	1.2000563012925838
1101	2	3.196380126130549
1101	3	3.5704953236484975
1101	4	4.502525319705317
1101	5	2.1765747421560135
1101	6	1.223878091700982
1101	7	0.9490518348350463
1101	8	0.7200722685672645
1101	9	0.818127351293974
1101	10	0.7904998981405953
1101	11	0.5551884085922012
1101	12	0.5894471681931392
1101	13	0.4467672289319822
1101	14	0.6331536138554839
1101	15	0.5082893993013471
1101	16	0.6355636339362718
1101	17	0.5324166300469457
1101	18	0.7341757996445608
1101	19	0.7085033391601385
1101	20	0.8312048883700953
1101	21	0.6912785023298511
1101	22	0.6612397404736257
1101	23	0.6377970341027392
1101	24	0.5645191242685286
1101	25	0.7169303432460694
1101	26	0.7106537716559131
1101	27	0.561955650382906
1101	28	0.531002092436303
1101	29	0.8789989900364219
1101	30	0.7273709626797
1101	31	0.7748826707845211
1101	32	0.8005630243598247
1101	33	0.7144732994874445
1101	34	0.716476196538423
1101	35	0.4990057563003987
1101	36	0.6356349335031126
1101	37	0.7056587100272367
1101	38	0.706425661827403
1101	39	0.4490918850855721
1101	40	0.511290847308409
1101	41	0.39546245814008785
1101	42	0.3104909494732411
1101	43	0.3962857199826999
1101	44	0.6234449731084766
1101	45	0.5055391335900836
1101	46	0.5634687589477707
1101	47	0.4584112896377093
1101	48	0.45861108341390633
1101	49	0.392360342821803
1101	50	0.5163898644821501
1101	51	0.33869445715406954
1102	1	0.9272885329276335
1102	2	2.9347904192538863
1102	3	3.180712879230569
1102	4	4.187276542709736
1102	5	2.033799417015821
1102	6	1.0939492844782919
1102	7	0.7838468075908835
1102	8	0.6371247284964738
1102	9	0.6953914009300561
1102	10	0.6295067787833162
1102	11	0.5471046477044794
1102	12	0.5734128842970279
1102	13	0.513296680469189
1102	14	0.4389902284201739
1102	15	0.6833142571146524
1102	16	0.5564541402402128
1102	17	0.5354651922710261
1102	18	0.42072473970740276
1102	19	0.46041241922218035
1102	20	0.47523304730101046
1102	21	0.5548548456460836
1102	22	0.3949011969426266
1102	23	0.3460339191204369
1102	24	0.5139995625216969
1102	25	0.35981595147279677
1102	26	0.38879187956161587
1102	27	0.3164132300851108
1102	28	0.5965867594000116
1102	29	0.5472784524717724
1102	30	0.3913472385457979
1102	31	0.42114251958565063
1102	32	0.299766943404876
1102	33	0.25658450007846056
1102	34	0.43652241259849944
1102	35	0.3507008168757366
1102	36	0.37091431498662075
1102	37	0.4619429243801605
1102	38	0.39934954471839035
1102	39	0.35880707037798487
1102	40	0.41752475357852603
1102	41	0.3617635289095773
1102	42	0.29687798627163886
1102	43	0.5007802440993459
1102	44	0.4737105611789474
1102	45	0.26172368411368296
1102	46	0.5352942602421393
1102	47	0.4049519250251947
1102	48	0.5232370060191727
1102	49	0.5723508371899797
1102	50	0.28420493951033876
1102	51	0.4575494250450376
1103	1	0.07028034181469778
1103	2	-1.1283753774735814
1103	3	-1.1302878440896684
1103	4	-0.6571318008869298
1103	5	-0.16033934317420062
1103	6	0.09126948075221719
1103	7	0.18776798523442295
1103	8	0.16818253546771444
1103	9	0.255370678782775
1103	10	0.25909331329742
1103	11	0.32416366672585184
1103	12	0.29770549665602886
1103	13	0.4785127968260028
1103	14	0.5160895187843693
1103	15	0.5006817624418076
1103	16	0.3809191765039728
1103	17	0.5964668930510371
1103	18	0.6013061327830798
1103	19	0.5042933255228874
1103	20	0.49960933021696974
1103	21	0.5274327980633373
1103	22	0.39567769098989203
1103	23	0.49711127528723154
1103	24	0.5226692397644825
