##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458881.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1321748
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.19194884350118	31.0	30.0	31.0	27.0	34.0
2	28.416329739103066	31.0	27.0	31.0	16.0	34.0
3	27.11722431204738	31.0	25.0	31.0	16.0	34.0
4	30.751330813437963	35.0	28.0	37.0	19.0	37.0
5	33.285716339271936	35.0	32.0	37.0	28.0	37.0
6	30.659569751571404	35.0	32.0	37.0	10.0	37.0
7	32.28862839209895	35.0	32.0	37.0	17.0	37.0
8	34.14640536622715	35.0	33.0	37.0	30.0	37.0
9	36.20688512484982	37.0	35.0	39.0	32.0	39.0
10	36.57547656588094	38.0	35.0	39.0	32.0	39.0
11	36.62389502386234	38.0	35.0	39.0	32.0	39.0
12	36.60948229163199	38.0	35.0	39.0	32.0	39.0
13	36.594875119916956	38.0	35.0	39.0	32.0	39.0
14	37.75463250180821	40.0	36.0	41.0	32.0	41.0
15	37.75313145924942	40.0	36.0	41.0	32.0	41.0
16	37.668516994162275	39.0	36.0	41.0	32.0	41.0
17	37.54288336354585	39.0	36.0	41.0	32.0	41.0
18	37.60287059257892	39.0	36.0	40.0	32.0	41.0
19	37.479602011881234	39.0	36.0	40.0	32.0	41.0
20	37.55809276806169	39.0	36.0	40.0	32.0	41.0
21	37.56005456410753	39.0	36.0	40.0	32.0	41.0
22	37.52797280570881	39.0	36.0	40.0	32.0	41.0
23	37.42572109055584	39.0	36.0	40.0	32.0	41.0
24	37.585765970517826	39.0	36.0	40.0	32.0	41.0
25	37.546325018082115	39.0	36.0	40.0	32.0	41.0
26	37.442695581911224	39.0	36.0	40.0	32.0	41.0
27	37.43840959093564	39.0	36.0	40.0	32.0	41.0
28	37.36914600967809	39.0	36.0	40.0	32.0	41.0
29	37.32727569854465	39.0	36.0	40.0	31.0	41.0
30	37.271813537830205	39.0	36.0	40.0	31.0	41.0
31	37.21882310395022	39.0	36.0	40.0	31.0	41.0
32	37.1666785196573	39.0	36.0	40.0	31.0	41.0
33	37.079799628976176	39.0	36.0	40.0	31.0	41.0
34	37.034797102019446	39.0	36.0	40.0	31.0	41.0
35	36.9888352393951	39.0	36.0	40.0	30.0	41.0
36	36.90837739115172	39.0	36.0	40.0	30.0	41.0
37	36.868522592808915	39.0	36.0	40.0	30.0	41.0
38	36.775956536344296	39.0	35.0	40.0	30.0	41.0
39	36.722084693905344	39.0	35.0	40.0	30.0	41.0
40	36.64119559855585	39.0	35.0	40.0	30.0	41.0
41	36.56556393503149	38.0	35.0	40.0	30.0	41.0
42	36.48265932689136	38.0	35.0	40.0	30.0	41.0
43	36.66374376961418	39.0	35.0	40.0	30.0	41.0
44	36.68343209144255	39.0	35.0	40.0	30.0	41.0
45	36.65230588584208	39.0	35.0	40.0	30.0	41.0
46	36.57509752237189	39.0	35.0	40.0	30.0	41.0
47	36.51733613366542	39.0	35.0	40.0	30.0	41.0
48	36.36293605135018	39.0	35.0	40.0	30.0	41.0
49	36.22126002838665	39.0	35.0	40.0	30.0	41.0
50	36.016621171357926	39.0	35.0	40.0	30.0	41.0
51	34.513796124526	37.0	33.0	40.0	26.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	1.3995184931739644
1101	2	3.6210210128711644
1101	3	5.096529433150849
1101	4	5.403735022175415
1101	5	2.4339130776921962
1101	6	5.979074811175025
1101	7	3.9996200875236667
1101	8	1.8165843053372726
1101	9	1.306850575983816
1101	10	0.9566252316907295
1101	11	0.7371563063755247
1101	12	0.7795476563301236
1101	13	0.6348875499531346
1101	14	0.7294095902707269
1101	15	0.6958461994836185
1101	16	0.719074032713138
1101	17	0.6517531641055925
1101	18	0.7111876386708218
1101	19	0.6862430879034065
1101	20	0.6226027191383849
1101	21	0.6274569997908159
1101	22	0.7639059066243945
1101	23	0.5790253324098913
1101	24	0.5045115885123082
1101	25	0.6660430417613625
1101	26	0.45437090645015843
1101	27	0.7093042620405612
1101	28	0.4862996569286153
1101	29	0.5085969052770238
1101	30	0.5561608532400086
1101	31	0.36883988193453376
1101	32	0.3838912903352778
1101	33	0.37431051842659
1101	34	0.5996845623396467
1101	35	0.40529844798049197
1101	36	0.5456375149624861
1101	37	0.38915164941134606
1101	38	0.41296481515444583
1101	39	0.42348798534648324
1101	40	0.2360256880986853
1101	41	0.34278087528515044
1101	42	0.3429481248071653
1101	43	0.32916693217904225
1101	44	0.3251672081020871
1101	45	0.4928446679975522
1101	46	0.1523882759967492
1101	47	0.2281334141550957
1101	48	0.2683197944492761
1101	49	0.14387858506195528
1101	50	0.41674893001155766
1101	51	0.5345180042286657
1102	1	0.8889701882755645
1102	2	2.6376234060499826
1102	3	2.5363824448888437
1102	4	3.7701847542716926
1102	5	1.8950678077219862
1102	6	5.762940348697867
1102	7	3.7123702598332784
1102	8	1.4481706440028148
1102	9	0.9896284225417205
1102	10	0.6604424054927662
1102	11	0.5886820856800128
1102	12	0.6412718858027944
1102	13	0.5642024198262732
1102	14	0.5521508868643821
1102	15	0.6033973949951275
1102	16	0.6380567931285555
1102	17	0.4138467120575555
1102	18	0.5923765411309532
1102	19	0.22988900535123946
1102	20	0.5018489423395422
1102	21	0.4093900210882211
1102	22	0.47936960888816316
1102	23	0.5292224644634231
1102	24	0.4391272503013326
1102	25	0.3533338911507471
1102	26	0.3620927177367932
1102	27	0.5459901645579706
1102	28	0.5536617830598729
1102	29	0.5529810285244352
1102	30	0.5526598421721545
1102	31	0.42890187027968807
1102	32	0.40997764162761285
1102	33	0.5071225805307336
1102	34	0.44594127071170675
1102	35	0.44036707309452083
1102	36	0.409883716605691
1102	37	0.3199894344613341
1102	38	0.2580222855692398
1102	39	0.49258645035884996
1102	40	0.2391697611099204
1102	41	0.4458996331037568
1102	42	0.43088485037630875
1102	43	0.6175818130775284
1102	44	0.297131094224369
1102	45	0.42375020660445273
1102	46	0.4678285108921756
1102	47	0.5629896626652879
1102	48	0.5560374296530384
1102	49	0.6678725833286947
1102	50	0.8491838511802925
1102	51	0.7646725254543156
1103	1	0.5764160004346124
1103	2	0.6285130895619346
1103	3	1.1438324806395777
1103	4	1.615013064904442
1103	5	0.8520269970846783
1103	6	5.35287672810793
1103	7	3.5292651380707127
1103	8	1.351537350774116
1103	9	1.0200459552699925
1103	10	0.5419019706308958
1103	11	0.5392565635677187
1103	12	0.5672150784946695
1103	13	0.464357954686065
1103	14	0.4209955774333167
1103	15	0.43756515561831577
1103	16	0.7493188395902521
1103	17	0.5537641474166932
1103	18	0.5952146778255312
1103	19	0.31709996242953764
1103	20	0.2834282368024361
1103	21	0.5147233286025994
1103	22	0.451453713897763
1103	23	0.49747428113762027
